,movies,year,imdb_rating,metascore,number_of_votes,n_imdb
0,Gladiator,2000,8.5,67,1142870,85.0
1,Memento,2000,8.5,80,981324,85.0
2,Requiem for a Dream,2000,8.3,68,666675,83.0
3,X-Men,2000,7.4,64,512495,74.0
4,Cast Away,2000,7.8,73,450395,78.0
5,American Psycho,2000,7.6,64,409305,76.0
6,Unbreakable,2000,7.3,62,297812,73.0
7,Meet the Parents,2000,7.0,73,284342,70.0
8,O Brother Where Art Thou?,2000,7.8,69,251541,78.0
9,Crouching Tiger Hidden Dragon,2000,7.9,93,233727,79.0
10,The Patriot,2000,7.2,63,229170,72.0
11,Almost Famous,2000,7.9,90,227448,79.0
12,Amores Perros,2000,8.1,83,199352,81.0
13,Traffic,2000,7.6,86,181714,76.0
14,Chocolat,2000,7.3,64,163401,73.0
15,Chicken Run,2000,7.0,88,156949,70.0
16,High Fidelity,2000,7.5,79,154430,75.0
17,Battle Royale,2000,7.7,81,153736,77.0
18,Erin Brockovich,2000,7.3,73,151524,73.0
19,The Emperor's New Groove,2000,7.3,70,150195,73.0
20,Billy Elliot,2000,7.7,74,109001,77.0
21,Shanghai Noon,2000,6.6,77,107381,66.0
22,In the Mood for Love,2000,8.1,85,97826,81.0
23,Frequency,2000,7.4,67,91086,74.0
24,The Sixth Sense,1999,8.1,64,806444,81.0
25,Iron Man,2008,7.9,79,802956,79.0
26,Up,2009,8.3,88,794144,83.0
27,The Truman Show,1998,8.1,90,789068,81.0
28,One Flew Over the Cuckoo's Nest,1975,8.7,80,786259,87.0
29,Eternal Sunshine of the Spotless Mind,2004,8.3,89,779788,83.0
30,Reservoir Dogs,1992,8.3,79,779577,83.0
31,The Lion King,1994,8.5,83,776378,85.0
32,The Hunger Games,2012,7.2,68,770809,72.0
33,Raiders of the Lost Ark,1981,8.5,85,766282,85.0
34,Deadpool,2016,8.0,65,748247,80.0
35,Star Wars: The Force Awakens,2015,8.0,81,747662,80.0
36,Toy Story,1995,8.3,95,742862,83.0
37,Jurassic Park,1993,8.1,68,737138,81.0
38,The Shining,1980,8.4,63,728819,84.0
39,A Beautiful Mind,2001,8.2,72,727526,82.0
40,Mad Max: Fury Road,2015,8.1,90,723851,81.0
41,No Country for Old Men,2007,8.1,91,722825,81.0
42,Good Will Hunting,1997,8.3,70,721931,83.0
43,Slumdog Millionaire,2008,8.0,86,716706,80.0
44,Gone Girl,2014,8.1,79,710979,81.0
45,Sin City,2005,8.0,74,701757,80.0
46,Monsters Inc.,2001,8.1,78,695989,81.0
47,The Terminator,1984,8.0,84,693260,80.0
48,Die Hard,1988,8.2,70,683978,82.0
49,Alien,1979,8.5,83,674743,85.0
50,Gravity,2013,7.7,96,671223,77.0
51,Donnie Darko,2001,8.1,88,669077,81.0
52,Requiem for a Dream,2000,8.3,68,666675,83.0
53,Catch Me If You Can,2002,8.1,75,665288,81.0
54,A Clockwork Orange,1971,8.3,78,652211,83.0
55,Harry Potter and the Deathly Hallows: Part 2,2011,8.1,87,650789,81.0
56,The Hangover,2009,7.7,73,643776,77.0
57,Toy Story 3,2010,8.3,92,643076,83.0
58,Iron Man Three,2013,7.2,62,643053,72.0
59,Gran Torino,2008,8.1,72,641602,81.0
60,Scarface,1983,8.3,65,627909,83.0
61,The Big Lebowski,1998,8.1,69,627050,81.0
62,The Martian,2015,8.0,80,626956,80.0
63,Amélie,2001,8.3,69,621149,83.0
64,Black Swan,2010,8.0,79,619293,80.0
65,City of God,2002,8.6,79,612325,86.0
66,Spider-Man,2002,7.3,73,611215,73.0
67,Captain America: The First Avenger,2011,6.9,66,608919,69.0
68,Star Wars: Episode III - Revenge of the Sith,2005,7.6,68,608353,76.0
69,Captain America: The Winter Soldier,2014,7.8,70,608111,78.0
70,I Am Legend,2007,7.2,65,606795,72.0
71,Indiana Jones and the Last Crusade,1989,8.3,65,600438,83.0
72,Taxi Driver,1976,8.3,94,600305,83.0
73,The Pianist,2002,8.5,85,598137,85.0
74,Silver Linings Playbook,2012,7.8,81,597429,78.0
75,Avengers: Age of Ultron,2015,7.4,66,594679,74.0
76,The Grand Budapest Hotel,2014,8.1,88,594073,81.0
77,Blade Runner,1982,8.2,89,592183,82.0
78,X-Men: Days of Future Past,2014,8.0,75,590736,80.0
79,The Good the Bad and the Ugly,1966,8.9,90,586027,89.0
80,District 9,2009,7.9,81,584741,79.0
81,X: First Class,2011,7.8,65,582944,78.0
82,Kill Bill: Vol. 2,2004,8.0,83,581761,80.0
83,The Imitation Game,2014,8.0,73,581323,80.0
84,Full Metal Jacket,1987,8.3,76,574404,83.0
85,How to Train Your Dragon,2010,8.1,74,573194,81.0
86,Skyfall,2012,7.8,81,572893,78.0
87,Aliens,1986,8.4,84,571663,84.0
88,The King's Speech,2010,8.0,88,567609,80.0
89,The Revenant,2015,8.0,76,567555,80.0
90,The Bourne Ultimatum,2007,8.0,85,563232,80.0
91,Trainspotting,1996,8.2,83,562192,82.0
92,Million Dollar Baby,2004,8.1,86,559844,81.0
93,Whiplash,2014,8.5,88,559811,85.0
94,The Incredibles,2004,8.0,90,559084,80.0
95,The Hunger Games: Catching Fire,2013,7.5,76,554912,75.0
96,Transformers,2007,7.1,61,554168,71.0
97,12 Angry Men,1957,8.9,96,551058,89.0
98,Star Trek,2009,8.0,82,545148,80.0
99,Pan's Labyrinth,2006,8.2,98,545111,82.0
100,The Social Network,2010,7.7,95,544959,77.0
101,The Hobbit: The Desolation of Smaug,2013,7.9,66,544070,79.0
102,Ratatouille,2007,8.0,96,543097,80.0
103,12 Years a Slave,2013,8.1,96,543047,81.0
104,Fargo,1996,8.1,85,533104,81.0
105,Shrek,2001,7.9,84,530118,79.0
106,Harry Potter and the Sorcerer's Stone,2001,7.6,64,529875,76.0
107,World War Z,2013,7.0,63,529104,70.0
108,Twelve Monkeys,1995,8.0,74,524491,80.0
109,Prometheus,2012,7.0,64,521150,70.0
110,Apocalypse Now,1979,8.5,94,520058,85.0
111,Casino Royale,2006,8.0,80,519852,80.0
112,Ted,2012,7.0,62,519682,70.0
113,Spirited Away,2001,8.6,96,516890,86.0
114,The Curious Case of Benjamin Button,2008,7.8,70,516448,78.0
115,Edge of Tomorrow,2014,7.9,71,516275,79.0
116,Groundhog Day,1993,8.0,72,514963,80.0
117,Argo,2012,7.7,86,513656,77.0
118,Captain America: Civil War,2016,7.8,75,512833,78.0
119,X-Men,2000,7.4,64,512495,74.0
120,2001: A Space Odyssey,1968,8.3,82,509086,83.0
121,Life of Pi,2012,7.9,79,507235,79.0
122,The Amazing Spider-Man,2012,7.0,66,503570,70.0
123,Psycho,1960,8.5,97,502693,85.0
124,Into the Wild,2007,8.1,73,500615,81.0
125,Heat,1995,8.2,76,498521,82.0
126,Drive,2011,7.8,78,497249,78.0
127,Logan,2017,8.1,77,495828,81.0
128,Prisoners,2013,8.1,74,490946,81.0
129,Inside Out,2015,8.2,94,490214,82.0
130,Frozen,2013,7.5,74,488549,75.0
131,Birdman or (The Unexpected Virtue of Ignorance),2014,7.7,88,486318,77.0
132,Jaws,1975,8.0,87,484517,80.0
133,Kick-Ass,2010,7.6,66,480883,76.0
134,Looper,2012,7.4,84,480184,74.0
135,Spider-Man 2,2004,7.3,83,473808,73.0
136,Lock Stock and Two Smoking Barrels,1998,8.2,66,472959,82.0
137,L.A. Confidential,1997,8.3,90,472355,83.0
138,Superbad,2007,7.6,76,465208,76.0
139,The Matrix Reloaded,2003,7.2,62,461122,72.0
140,X2,2003,7.5,68,459676,75.0
141,Arrival,2016,7.9,81,459227,79.0
142,21 Jump Street,2012,7.2,69,459122,72.0
143,Harry Potter and the Chamber of Secrets,2002,7.4,63,458656,74.0
144,The Bourne Identity,2002,7.9,68,458251,79.0
145,The Lord of the Rings: The Fellowship of the Ring,2001,8.8,92,1425839,88.0
146,A Beautiful Mind,2001,8.2,72,727526,82.0
147,Monsters Inc.,2001,8.1,78,695989,81.0
148,Donnie Darko,2001,8.1,88,669077,81.0
149,Amélie,2001,8.3,69,621149,83.0
150,Shrek,2001,7.9,84,530118,79.0
151,Harry Potter and the Sorcerer's Stone,2001,7.6,64,529875,76.0
152,Spirited Away,2001,8.6,96,516890,86.0
153,Ocean's Eleven,2001,7.8,74,454718,78.0
154,Training Day,2001,7.7,69,341444,77.0
155,Black Hawk Down,2001,7.7,74,325932,77.0
156,The Others,2001,7.6,74,301751,76.0
157,Mulholland Dr.,2001,8.0,83,276695,80.0
158,A.I. Artificial Intelligence,2001,7.1,65,265857,71.0
159,Moulin Rouge!,2001,7.6,66,244653,76.0
160,The Royal Tenenbaums,2001,7.6,76,236009,76.0
161,Zoolander,2001,6.6,61,223029,66.0
162,Bridget Jones's Diary,2001,6.7,66,196757,67.0
163,Spy Game,2001,7.1,63,130917,71.0
164,The Score,2001,6.8,71,109916,68.0
165,Ghost World,2001,7.4,88,104269,74.0
166,Y Tu Mamá También,2001,7.7,88,101568,77.0
167,The Sixth Sense,1999,8.1,64,806444,81.0
168,Iron Man,2008,7.9,79,802956,79.0
169,Up,2009,8.3,88,794144,83.0
170,The Truman Show,1998,8.1,90,789068,81.0
171,One Flew Over the Cuckoo's Nest,1975,8.7,80,786259,87.0
172,Eternal Sunshine of the Spotless Mind,2004,8.3,89,779788,83.0
173,Reservoir Dogs,1992,8.3,79,779577,83.0
174,The Lion King,1994,8.5,83,776378,85.0
175,The Hunger Games,2012,7.2,68,770809,72.0
176,Raiders of the Lost Ark,1981,8.5,85,766282,85.0
177,Deadpool,2016,8.0,65,748247,80.0
178,Star Wars: The Force Awakens,2015,8.0,81,747662,80.0
179,Toy Story,1995,8.3,95,742862,83.0
180,Jurassic Park,1993,8.1,68,737138,81.0
181,The Shining,1980,8.4,63,728819,84.0
182,A Beautiful Mind,2001,8.2,72,727526,82.0
183,Mad Max: Fury Road,2015,8.1,90,723851,81.0
184,No Country for Old Men,2007,8.1,91,722825,81.0
185,Good Will Hunting,1997,8.3,70,721931,83.0
186,Slumdog Millionaire,2008,8.0,86,716706,80.0
187,Gone Girl,2014,8.1,79,710979,81.0
188,Sin City,2005,8.0,74,701757,80.0
189,Monsters Inc.,2001,8.1,78,695989,81.0
190,The Terminator,1984,8.0,84,693260,80.0
